Cell name,HT demand (MWh of feedstock inputs to boilers)
BE100,245806
BE211,23176734
BE212,225771
BE213,547119
BE221,670952
BE222,193786
BE223,577443
BE231,0
BE232,665829
BE233,0
BE234,13337756
BE235,88700
BE236,178496
BE241,92697
BE242,0
BE251,0
BE252,85827
BE253,161781
BE254,116672
BE255,0
BE256,0
BE257,0
BE258,0
BE310,410332
BE321,0
BE322,1204777
BE323,3616112
BE324,136423
BE325,413754
BE326,61814
BE327,6290984
BE331,956546
BE332,3803712
BE334,3575081
BE335,296536
BE341,0
BE342,0
BE343,1451111
BE344,0
BE345,298293
BE351,0
BE352,3496788
BE353,0
