Cell name,Yield (MWh/ha)
BE100,78.5
BE211,83.4
BE212,82.7
BE213,77.9
BE221,69.6
BE222,71.0
BE223,69.2
BE231,0.0
BE232,90.9
BE233,0.0
BE234,0.0
BE235,0.0
BE236,90.9
BE241,81.3
BE242,84.1
BE251,82.7
BE252,0.0
BE253,0.0
BE254,82.7
BE255,0.0
BE256,0.0
BE257,82.7
BE258,78.5
BE310,81.6
BE321,0.0
BE322,0.0
BE323,0.0
BE324,0.0
BE325,80.6
BE326,80.6
BE327,82.7
BE331,76.5
BE332,67.1
BE334,0.0
BE335,65.0
BE341,0.0
BE342,73.1
BE343,66.5
BE344,71.3
BE345,71.7
BE351,70.9
BE352,0.0
BE353,82.7
