Cell name,X,Y
BE100,596.2860941,5632.526007
BE211,605.2303204,5682.370842
BE212,606.756952,5659.5944
BE213,636.568036,5679.446853
BE221,660.905662,5647.340539
BE222,676.242573,5668.228257
BE223,677.3974582,5634.308914
BE231,566.9213851,5636.556693
BE232,572.9350428,5654.979852
BE233,541.5278576,5674.694219
BE234,546.8879572,5656.705561
BE235,545.4316609,5631.17408
BE236,579.7618784,5672.318199
BE241,589.7400726,5633.956237
BE242,630.2287596,5639.425231
BE251,515.7002034,5672.055055
BE252,491.9861606,5652.03292
BE253,489.5517187,5633.103848
BE254,522.7278451,5629.77452
BE255,497.1618438,5669.615349
BE256,508.6082899,5643.018377
BE257,522.5097186,5649.842636
BE258,477.7829195,5655.48855
BE310,612.3472135,5613.896192
BE321,549.9964979,5608.615245
BE322,600.8455626,5590.159675
BE323,504.7389387,5621.587101
BE324,562.0761146,5588.717668
BE325,574.4903134,5605.301929
BE326,590.1819537,5562.760337
BE327,531.6854675,5606.895279
BE331,666.0149846,5595.875572
BE332,684.8301852,5609.341491
BE334,656.4970009,5614.394073
BE335,714.6138114,5594.589434
BE341,700.6283323,5506.048125
BE342,696.7514777,5551.033247
BE343,678.6772106,5566.674508
BE344,665.0277212,5530.625934
BE345,679.5402663,5504.135353
BE351,645.1965775,5558.635586
BE352,631.7193757,5591.000329
BE353,611.3445698,5556.130516
