Cell name,costs production (euro/MWh)
BE100,8.8
BE211,8.3
BE212,8.4
BE213,8.9
BE221,9.9
BE222,9.7
BE223,10.0
BE231,0.0
BE232,7.6
BE233,0.0
BE234,0.0
BE235,0.0
BE236,7.6
BE241,8.5
BE242,8.2
BE251,8.4
BE252,0.0
BE253,0.0
BE254,8.4
BE255,0.0
BE256,0.0
BE257,8.4
BE258,8.8
BE310,8.5
BE321,0.0
BE322,0.0
BE323,0.0
BE324,0.0
BE325,8.6
BE326,8.6
BE327,8.4
BE331,9.0
BE332,10.3
BE334,0.0
BE335,10.6
BE341,0.0
BE342,9.4
BE343,10.4
BE344,9.7
BE345,9.6
BE351,9.7
BE352,0.0
BE353,8.4
