Cell name,Marginal land (ha)
FRH02,417.361
FRH03,23361.340
FRI21,1000.000
FRI22,1706.013
FRK25,2890.320
FRK26,2450.456
FRJ21,17587.892
FRI23,893.968
FRK27,13231.683
FRK28,13542.004
FRL05,5792.803
FRJ11,4037.816
FRJ13,19072.539
FRK11,200.000
FRJ12,11017.277
FRJ14,11694.970
FRK12,3149.989
FRK13,2200.000
FRJ15,10530.458
FRK21,8234.494
FRK14,3257.698
FRL06,3541.846
FRK22,15398.718
FRK23,11062.911
FRL01,32657.559
FRL02,14041.536
FRK24,15567.644
FRL03,26877.245
FRL04,8371.507
FRG02,1415.106
FRG03,200.000
FRH04,944.111
FRJ22,5977.300
FRG04,500.000
FRG05,29837.554
FRJ23,6414.312
FRI31,1463.414
FRI11,3000.000
FRJ24,417.360
FRJ25,631.187
FRI32,37479.436
FRI12,15266.629
FRI13,2404.856
FRJ26,11595.919
FRJ27,2061.955
FRI33,1190.075
FRI14,600.000
FRJ28,896.264
FRH01,633.027
FRI34,805.800
FRI15,8742.340
FRE21,1987.005
FRB04,679.091
FRB05,1199.988
FRB06,752.391
FRD11,1042.887
FRC12,400.008
FRC14,1777.120
FRC13,172.155
FRE11,2447.667
FRD12,14897.198
FRE12,1352.335
FRD13,1030.576
FRF31,2697.363
FRF32,940.727
FRF33,2754.246
FRF34,6700.956
FRF11,1757.740
FRC11,299.992
FRC23,700.012
FRC24,6.684
FRF12,3112.685
FRG01,16559.468
FRC21,7854.948
FRC22,5967.384
FRE22,2300.000
FR101,0.000
FRE23,1000.000
FRF21,793.728
FRD21,756.087
FRD22,7999.906
FR102,1296.573
FR103,0.000
FRF22,5116.918
FRF23,6563.903
FR104,47.146
FR105,0.000
FR106,0.000
FR107,0.000
FR108,300.000
FRF24,0.000
FRB01,2799.989
FRB02,569.424
FRB03,1200.000
