Cell name,Yield (MWh/ha)
FRH02,61.36
FRH03,45.47
FRI21,83.09
FRI22,74.44
FRK25,75.94
FRK26,80.59
FRJ21,73.10
FRI23,74.81
FRK27,81.80
FRK28,78.64
FRL05,67.20
FRJ11,64.91
FRJ13,66.98
FRK11,76.47
FRJ12,72.35
FRJ14,61.25
FRK12,72.90
FRK13,66.14
FRJ15,67.55
FRK21,76.00
FRK14,65.21
FRL06,91.36
FRK22,76.39
FRK23,95.68
FRL01,84.67
FRL02,79.98
FRK24,94.66
FRL03,104.22
FRL04,78.22
FRG02,91.53
FRG03,72.34
FRH04,60.89
FRJ22,77.88
FRG04,81.85
FRG05,79.16
FRJ23,84.12
FRI31,108.74
FRI11,102.51
FRJ24,93.55
FRJ25,65.10
FRI32,90.42
FRI12,84.32
FRI13,106.78
FRJ26,79.21
FRJ27,70.49
FRI33,100.25
FRI14,90.94
FRJ28,83.63
FRH01,62.87
FRI34,95.24
FRI15,94.73
FRE21,83.66
FRB04,76.69
FRB05,72.34
FRB06,86.48
FRD11,84.25
FRC12,75.44
FRC14,93.79
FRC13,83.34
FRE11,79.87
FRD12,72.84
FRE12,79.79
FRD13,73.08
FRF31,79.48
FRF32,78.46
FRF33,78.98
FRF34,75.43
FRF11,76.94
FRC11,90.94
FRC23,76.18
FRC24,45.47
FRF12,70.20
FRG01,72.03
FRC21,74.90
FRC22,84.46
FRE22,88.60
FR101,NaN
FRE23,75.23
FRF21,82.33
FRD21,84.88
FRD22,78.85
FR102,84.07
FR103,NaN
FRF22,91.33
FRF23,87.26
FR104,103.34
FR105,NaN
FR106,NaN
FR107,NaN
FR108,101.96
FRF24,NaN
FRB01,96.11
FRB02,80.05
FRB03,95.07
