Cell name,Radius (km)
FRH02,46.428
FRH03,46.661
FRI21,43.329
FRI22,42.220
FRK25,39.092
FRK26,32.208
FRJ21,39.530
FRI23,42.050
FRK27,44.682
FRK28,39.247
FRL05,43.822
FRJ11,44.863
FRJ13,44.299
FRK11,48.468
FRJ12,43.241
FRJ14,40.590
FRK12,42.875
FRK13,39.918
FRJ15,36.170
FRK21,42.916
FRK14,50.516
FRL06,33.743
FRK22,42.096
FRK23,45.692
FRL01,47.187
FRL02,42.573
FRK24,50.070
FRL03,36.979
FRL04,40.879
FRG02,47.989
FRG03,40.743
FRH04,46.804
FRJ22,52.841
FRG04,44.578
FRG05,46.428
FRJ23,44.983
FRI31,43.614
FRI11,54.174
FRJ24,44.785
FRJ25,40.790
FRI32,46.916
FRI12,56.863
FRI13,54.566
FRJ26,37.927
FRJ27,42.901
FRI33,43.847
FRI14,41.398
FRJ28,34.457
FRH01,47.173
FRI34,47.348
FRI15,49.456
FRE21,48.586
FRB04,44.274
FRB05,45.209
FRB06,46.565
FRD11,42.235
FRC12,46.780
FRC14,48.723
FRC13,52.360
FRE11,42.797
FRD12,43.735
FRE12,46.157
FRD13,44.230
FRF31,41.027
FRF32,44.546
FRF33,44.610
FRF34,43.344
FRF11,39.068
FRC11,52.929
FRC23,41.421
FRC24,13.946
FRF12,33.535
FRG01,46.909
FRC21,40.907
FRC22,40.085
FRE22,43.303
FR101,5.781
FRE23,44.406
FRF21,40.860
FRD21,43.822
FRD22,44.852
FR102,43.439
FR103,27.087
FRF22,43.797
FRF23,51.065
FR104,24.076
FR105,7.464
FR106,8.704
FR107,8.849
FR108,19.979
FRF24,44.628
FRB01,48.234
FRB02,43.457
FRB03,46.858
